,city,country,total_spent
885,Alicante (Alacant),Spain,0.0
886,,,0.0
887,,United Kingdom,30.13
888,New York,United States,30.13
889,DUBLIN 24,Ireland,30.59
890,Calabasas,United States,254.13
891,Arlington,United States,70.13
892,Freeport,United States,70.13
893,Lincoln City,United States,0.0
894,Riihimäki,Finland,70.59
895,Angers,France,0.0
896,Houston,United States,0.0
897,Brooklyn,United States,30.13
898,Seminole,United States,0.0
899,Sacramento,United States,56.13
900,Brooklyn,United States,70.13
901,Brooklyn,United States,70.13
902,Randleman,United States,0.0
903,PÓVOA DE VARZIM,Portugal,70.59
904,Washington,United States,30.13
905,,,0.0
906,Saint Paul,United States,70.13
907,Los Angeles,United States,0.0
908,Elizabeth,United States,0.0
909,Ewing,United States,75.52
910,Carmichael,United States,30.13
911,Brooklyn,United States,30.13
912,Mariposa,United States,56.13
913,San Diego,United States,259.52
914,Paris,France,96.59
915,,,0.0
916,Los Angeles,United States,70.13
917,Paris,France,30.59
918,Lugano,Switzerland,56.59
919,Jersey City,United States,0.0
920,Hove,United Kingdom,68.99
921,Solna,Sweden,70.59
922,London,United Kingdom,30.94
923,Westerly,United States,0.0
924,İstanbul,Turkey,0.0
925,Hamburg,Germany,0.0
926,Medford,United States,0.0
927,Graz,Austria,0.0
928,Apple Valley,United States,0.0
929,San Francisco,United States,70.13
930,Pittsburgh,United States,268.13
931,Lynchburg,United States,96.13
932,Oakland,United States,0.0
933,Irvine,United States,75.52
934,Miami,United States,0.0
935,Enfield,United Kingdom,0.0
936,London,United Kingdom,0.0
937,Shoreline,United States,30.13
938,Huddersfield,United Kingdom,0.0
939,Phoenix,United States,56.13
940,Wien,Austria,0.0
941,McKinney,United States,30.13
942,Köln,Germany,0.0
943,Brooklyn,United States,30.13
944,,United Kingdom,0.0
945,GUERNSEY,Guernsey,70.59
946,Stamford,United Kingdom,28.99
947,Berlin,Germany,107.01
948,Hamburg,Germany,70.59
949,London,United Kingdom,28.99
950,,United Kingdom,70.13
951,New York,United States,56.13
952,Austin,United States,0.0
953,,United States,0.0
954,Berlin,Germany,30.59
955,Carmel,United States,70.13
956,Brockenhurst,United Kingdom,28.99
957,Queens,United States,30.13
958,København K,Denmark,56.59
959,Oakland,United States,56.13
960,Seattle,United States,122.13
961,Aromas,United States,60.26
962,London,United Kingdom,192.97
963,South Jordan,United States,56.13
964,Austin,United States,0.0
965,LOS ANGELES,United States,96.13
966,Seattle,United States,0.0
967,New York,United States,56.13
968,Oranmore,Ireland,0.0
969,Poitiers,France,0.0
970,Columbia,United States,0.0
971,Cleveland,United States,70.13
972,Washington,United States,0.0
973,Phoenix,United States,70.13
974,kennett square,United States,70.13
975,Ithaca,United States,75.52
976,Dublin,Ireland,0.0
977,Bloomington,United States,0.0
978,Plano,United States,70.13
979,Greencastle,United States,0.0
980,Mettlach,Germany,0.0
981,Kbhv,Denmark,30.59
982,Houston,United States,56.13
983,Marinette,United States,56.13
984,Tigard,United States,144.16
985,Seattle,United States,0.0
986,San Antonio,United States,30.13
987,Basel,Switzerland,35.43
988,DOWNERS GROVE,United States,75.52
989,Frederiksberg,Denmark,0.0
990,Dublin,Ireland,30.59
991,London,United Kingdom,68.99
992,Derry,United States,162.13
993,Brookfield,United States,136.13
994,Austin,United States,0.0
995,Houston,United States,101.52
996,Warsaw,Poland,0.0
997,Paris,France,30.59
998,,,0.0
999,London,United Kingdom,68.99
1000,Johnstown,United States,30.13
1001,Fullerton,United States,0.0
1002,Norman,United States,70.13
1003,,,0.0
1004,Washington,United States,56.13
1005,,,0.0
1006,Dublin,Ireland,0.0
1007,Birnbach,Germany,0.0
1008,South Brent,United Kingdom,0.0
1009,Bronx,United States,56.13
1010,Trier,Germany,0.0
1011,,United Kingdom,0.0
1012,Westport,United States,30.13
1013,San Antonio,United States,35.52
1014,Halle,Germany,30.59
1015,Portland,United States,0.0
1016,Arvada,United States,136.13
1017,Seoul,United States,0.0
1018,Austin,United States,70.13
1019,Sacramento L,United States,140.26
1020,Berlin,Germany,0.0
1021,Royal Oak,United States,75.52
1022,Point Roberts,United States,0.0
1023,Griffith,United States,136.13
1024,Cheney,United States,70.13
1025,Murfreesboro,United States,0.0
1026,Rohnert Park,United States,30.13
1027,Brooklyn,United States,70.13
1028,Suhr,Switzerland,30.59
1029,Hermantown,United States,30.13
1030,Gautam Buddha Nagar,India,0.0
1031,Beveren,Belgium,102.42
1032,Brooklyn,United States,0.0
1033,Firenze,Italy,0.0
1034,Eyüp,Turkey,0.0
1035,Eau Claire,United States,75.52
1036,Reading,United States,0.0
1037,Rockville,United States,136.13
1038,McKinney,United States,136.13
1039,Clifton,United States,30.13
1040,Beacon,United States,70.13
1041,Buchrain,Switzerland,30.59
1042,,,0.0
1043,Hartsville,United States,0.0
1044,Chorley,United Kingdom,68.99
1045,portland,United States,0.0
1046,London,United Kingdom,69.99
1047,Los Angeles,United States,56.13
1048,Valdez,United States,56.13
1049,Endicott,United States,0.0
1050,Brooklyn,United States,70.13
1051,Lynnwood,United States,30.13
1052,Sherman Oaks,United States,0.0
1053,Seattle,United States,56.13
1054,Swansea,United Kingdom,28.99
1055,Belfast,United Kingdom,0.0
1056,Romano D'ezzelino,Italy,70.59
1057,London,United Kingdom,94.99
1058,,,0.0
1059,,,273.47
1060,Langport,United Kingdom,28.99
1061,Lynchburg,United States,30.13
1062,Kent,United Kingdom,0.0
1063,London,United Kingdom,69.89
1064,Sheringham,United Kingdom,0.0
1065,,,74.03
1066,Warszawa,Poland,0.0
1067,Warszawa,Poland,30.59
1068,Helsinki,Finland,6.59
1069,,United Kingdom,0.0
1070,Saint Charles,United States,0.0
1071,,,0.0
1072,,,0.0
1073,,,0.0
1074,STOCKPORT,United Kingdom,0.0
1075,,,0.0
1076,,,0.0
1077,Morgan HIll,United States,0.0
1078,Annapolis,United States,140.03
1079,,,0.0
1080,Miami,United States,74.03
1081,HOUSTON,United States,0.0
1082,Dortmund,Germany,0.0
1083,,,0.0
1084,,,0.0
1085,,,0.0
1086,Margate,United States,0.0
1087,,,140.03
1088,Älvsjö,Sweden,0.0
1089,EAGLE RIVER,United States,78.97
1090,Oakland,United States,74.03
1091,,,0.0
1092,Bratislava,Slovakia,0.0
1093,Grand Portage,United States,0.0
1094,Atco,United States,0.0
1095,Lafe,United States,0.0
1096,Minneapolis,United States,35.52
1097,London,United Kingdom,68.99
1098,Budapest,Hungary,194.42
1099,Killeberg,Sweden,0.0
1100,Gosport,United Kingdom,3.99
1101,Little River,United States,0.0
1102,Mendham,United States,210.97
1103,CHESTER,United States,74.03
1104,Salinas,United States,0.0
1105,Saltash,United Kingdom,137.98
1106,Charlotte,United States,0.0
1107,,,0.0
1108,Cork,Ireland,165.91
1109,Haverford,United States,35.52
1110,Belfast,United Kingdom,2.99
1111,Lincoln,United States,0.0
1112,Brooklyn,United States,0.0
1113,Karlsdorf-Neuthard,Germany,0.0
1114,Kirkland,United States,74.03
1115,Fairmont,United States,0.0
1116,Houston,United States,0.0
1117,Sheffield,United Kingdom,69.99
1118,Great Yarmouth,United Kingdom,68.99
1119,,,0.0
1120,Austin,United States,0.0
1121,Leesburg,United States,74.03
1122,London,United Kingdom,80.99
1123,Rotterdam,Netherlands,30.59
1124,LORIS,United States,74.03
1125,Cleveland,United States,74.03
1126,Los Angeles,United States,100.03
1127,Frederiksberg,Denmark,0.0
1128,Chicago,United States,0.0
1129,Santa Monica,United States,126.03
1130,Issaquah,United States,0.0
1131,Portland,United States,74.03
1132,Glen Cove,United States,0.0
1133,Jeannette,United States,0.0
1134,,United States,0.0
1135,Racine,United States,140.03
1136,Los Angeles,United States,30.13
1137,Brooklyn,United States,0.0
1138,Rotterdam,Netherlands,0.0
1139,,United Kingdom,69.89
1140,Miami,United States,74.03
1141,Clearwater,United States,78.97
1142,Decatur,United States,74.03
1143,Austin,United States,30.13
1144,Savannah,United States,0.0
1145,Detroit,United States,0.0
1146,Fairfax,United States,0.0
1147,Argenteuil,France,87.43
1148,Kaneohe,United States,0.0
1149,CHEVILLY-LARUE,France,99.91
1150,Trenton,United States,74.03
1151,AUSTIN,United States,210.97
1152,brooklyn,United States,74.03
1153,OAKLAND,United States,140.03
1154,Wembley,United Kingdom,68.99
1155,Honolulu,United States,74.03
1156,,United Kingdom,0.0
1157,Brooklyn,United States,74.03
1158,Jersey City,United States,74.03
1159,paris,France,30.59
1160,Carterton,United Kingdom,28.99
1161,London,United Kingdom,68.99
1162,Los Angeles,United States,0.0
1163,Middletown,United States,0.0
1164,San Francisco,United States,74.03
1165,Glasgow,United Kingdom,29.99
1166,London,United Kingdom,28.99
1167,Bristol,United Kingdom,68.99
1168,Bergen,Norway,30.59
1169,EMERYVILLE,United States,140.03
1170,Stevenage,United Kingdom,55.89
1171,Minneapolis,United States,30.13
1172,Oakland,United States,0.0
1173,London,United Kingdom,28.99
1174,Blackrock,Ireland,0.0
1175,Leeds,United Kingdom,28.99
1176,Cleveland,United States,56.13
1177,Mulhouse,France,30.59
1178,Oslo,Norway,0.0
1179,,,0.0
1180,WEST MOLESEY,United Kingdom,0.0
1181,Los Angeles,United States,140.03
1182,Brooklyn,United States,30.13
1183,Marseille,France,56.59
1184,EL MONTE,United States,0.0
1185,New York,United States,0.0
1186,salt lake city,United States,56.13
1187,Royal Oak,United States,0.0
1188,Poughkeepsie,United States,0.0
1189,Columbus,United States,56.13
1190,Garden Grove,United States,30.13
1191,Bruxelles,Belgium,30.59
1192,Helsinki,Finland,30.59
1193,Vilnius,Lithuania,0.0
1194,Manchester,United Kingdom,28.99
1195,,,0.0
1196,New Orleans,United States,30.13
1197,Brighton,United Kingdom,55.99
1198,Tarrytown,United States,0.0
1199,Sisak,Croatia,0.0
1200,San Francisco,United States,30.13
1201,Clonmel,Ireland,30.59
1202,Neuchâtel,Switzerland,30.59
1203,London,United Kingdom,54.99
1204,Rockwall,United States,61.52
1205,LUTHERVILLE,United States,56.13
1206,,United States,0.0
1207,,United Kingdom,30.13
1208,Springfield,United States,30.13
1209,Greeley,United States,74.03
1210,Cumming,United States,56.13
1211,Clifton,United States,0.0
1212,Matthews,United States,0.0
1213,Vacaville,United States,56.13
1214,,,0.0
1215,,,30.13
1216,Liverpool,United Kingdom,28.99
1217,Heathfield,United Kingdom,28.99
1218,London,United Kingdom,54.99
1219,Gelsenkirchen,Germany,142.42
1220,Paris,France,0.0
1221,Oceanside,United States,346.06
1222,Dallas,United States,56.13
1223,GILBERT,United States,0.0
1224,Malbuisson,France,61.18
1225,Verona,Italy,30.59
1226,Fremont,United States,56.13
1227,London,United Kingdom,95.99
1228,Cambridge,United States,30.13
1229,Park Ridge,United States,74.03
1230,Dallas,United States,30.13
1231,Warszawa,Poland,35.43
1232,Treviglio,Italy,35.43
1233,Norwich,United Kingdom,68.99
1234,Fresno,United States,0.0
1235,auburn,United States,56.13
1236,Epsom,United Kingdom,0.0
1237,London,United Kingdom,68.99
1238,Chesapeake,United States,61.52
1239,San Francisco,United States,78.97
1240,San Francisco,United States,74.03
1241,Hood River,United States,74.03
1242,Vienna,Austria,56.59
1243,Berlin,Germany,30.59
1244,Dublin,United States,0.0
1245,Düsseldorf,Germany,0.0
1246,FLIPPIN,United States,56.13
1247,Mühltal,Germany,0.0
1248,Skaneateles Falls,United States,0.0
1249,Aarhus,Denmark,30.59
1250,Brooklyn,United States,0.0
1251,Fayetteville,United States,0.0
1252,Morgan Hill,United States,56.13
1253,Miami,United States,0.0
1254,Brooklyn,United States,130.97
1255,Los angeles,United States,56.13
1256,Berlare,Belgium,30.59
1257,Nicosia,Cyprus,56.59
1258,Minneapolis,United States,30.13
1259,Nottingham,United Kingdom,28.99
1260,Wake Forest,United States,30.13
1261,Portland,United States,74.03
1262,Wilrijk,Belgium,30.59
1263,Los Angeles,United States,0.0
1264,Oxford,United Kingdom,54.99
1265,Liverpool,United Kingdom,28.99
1266,Humble,United States,0.0
1267,Portland,United States,35.52
1268,Lexington,United States,74.03
1269,Lichfield,United Kingdom,68.99
1270,Louisville,United States,0.0
1271,,,0.0
1272,San Diego,United States,74.03
1273,San Diego,United States,78.97
1274,Monticello,United States,144.97
1275,New York,United States,30.13
1276,Paris,France,30.59
1277,Winder,United States,0.0
1278,Goleta,United States,56.13
1279,Atlanta,United States,206.03
1280,New York,United States,0.0
1281,West Babylon,United States,78.97
1282,New York,United States,148.06
1283,Hayes,United Kingdom,70.94
1284,Katy,United States,30.13
1285,Brooklyn,United States,74.03
1286,London,United Kingdom,28.99
1287,Manchester,United Kingdom,68.99
1288,Riga,Latvia,76.42
1289,Newport News,United States,0.0
1290,Houston,United States,74.03
1291,Ocala,United States,148.06
1292,port angeles,United States,0.0
1293,Finger,United States,74.03
1294,Madrid,Spain,30.59
1295,,,0.0
1296,Newington,United States,0.0
1297,,United Kingdom,0.0
1298,,,0.0
1299,West Drayton,United Kingdom,134.99
1300,New Canaan,United States,0.0
1301,Zurich,Switzerland,56.59
1302,Sumter,United States,0.0
1303,Braunschweig,Germany,30.59
1304,OLD KILPATRICK,United Kingdom,68.99
1305,Grangemouth,United Kingdom,68.99
1306,Valdobbiadene,Italy,56.59
1307,Los Angeles,United States,30.13
1308,New York,United States,56.13
1309,Sesto San Giovanni,Italy,30.59
1310,Austin,United States,30.13
1311,Koshkonong,United States,0.0
1312,Queens,United States,30.13
1313,Dallas,United States,30.13
1314,london,United Kingdom,28.99
1315,Austin,United States,56.13
1316,Chula Vista,United States,56.13
1317,Medford,United States,0.0
1318,Buffalo,United States,30.13
1319,Split,Croatia,0.0
1320,Sankt Antoni,Switzerland,56.59
1321,Covington,United States,56.13
1322,Oslo,Norway,56.59
1323,Porto,Portugal,0.0
1324,,,0.0
1325,Elizabeth,United States,0.0
1326,Schenectady,United States,0.0
1327,,,0.0
1328,Vida,United States,100.03
1329,London,United Kingdom,55.99
1330,Reseda,United States,100.03
1331,Berlin,Germany,0.0
1332,Swansea,United Kingdom,28.99
1333,Exeter,United Kingdom,28.99
1334,Tartu,Estonia,0.0
1335,Bowie,United States,30.13
1336,Romania,Romania,0.0
1337,Tilburg,Netherlands,0.0
1338,Bilbo,Spain,0.0
1339,Homestead,United States,30.13
1340,Amsterdam,Netherlands,73.91
1341,Milano,Italy,61.43
1342,Roma,Italy,61.43
1343,,,0.0
1344,,,0.0
1345,Upper Darby,United States,0.0
1346,Laurel,United States,56.13
1347,Los Angeles,United States,0.0
1348,Oakland,United States,56.13
1349,Harwood Heights,United States,30.13
1350,,United Kingdom,0.0
1351,Springfield,United States,56.13
1352,San Jacinto,United States,0.0
1353,Eindhoven,Netherlands,56.59
1354,Tadley,United Kingdom,55.99
1355,Marlton,United States,74.03
1356,Helsinki,Finland,30.59
1357,Peterborough,United Kingdom,54.99
1358,Salt Lake City,United States,0.0
1359,Basildon,United Kingdom,54.99
1360,Los angeles,United States,56.13
1361,Miami,United States,61.52
1362,Sant Just Desvern,Spain,30.59
1363,Sandy,United States,56.13
1364,,United Kingdom,125.91
1365,DAGENHAM,United Kingdom,68.99
1366,London,United Kingdom,28.99
1367,Pateley Bridge,United Kingdom,28.99
1368,Dalgety Bay,United Kingdom,28.99
1369,New York,United States,0.0
1370,London,United Kingdom,186.99
1371,Medlov,Czech Republic,0.0
1372,San Antonio,United States,0.0
1373,London,United Kingdom,28.99
1374,Eugene,United States,0.0
1375,Harburg (Schwaben),Germany,56.59
1376,Astoria,United States,78.97
1377,,France,125.91
1378,Wien,Austria,73.91
1379,Burtonsville,United States,30.13
1380,Växjö,Sweden,0.0
1381,Antwerpen,Belgium,0.0
1382,Buena Park,United States,30.13
1383,Los Angeles,United States,144.97
1384,Walkertown,United States,0.0
1385,Sale,United Kingdom,55.99
1386,Redondo Beach,United States,78.97
1387,Wilkes Barre,United States,0.0
1388,Woodland Hills,United States,0.0
1389,Stockholm,Sweden,30.59
1390,Irvine,United States,56.13
1391,,,0.0
1392,,,0.0
1393,New York,United States,0.0
1394,Dover,United States,30.13
1395,upland,United States,118.0
1396,San Antonio,United States,61.52
1397,Vilnius,Lithuania,56.59
1398,Durham,United Kingdom,68.99
1399,Spinea,Italy,56.59
1400,Westminster,United States,74.03
1401,Gdańsk,Poland,125.91
1402,Denver,United States,78.97
1403,Brooklyn,United States,126.03
1404,Bowling Green,United States,30.13
1405,El Paso,United States,0.0
1406,Fayetteville,United States,74.03
1407,Kihei,United States,0.0
1408,LONDON,United Kingdom,68.99
1409,Roebling,United States,74.03
1410,Gorey,Ireland,76.42
1411,New York,United States,0.0
1412,London,United Kingdom,28.99
1413,,,0.0
1414,Jersey City,United States,74.03
1415,Miami,United States,0.0
1416,Vancouver,United States,74.03
1417,Inglewood,United States,56.13
1418,Ashford,United Kingdom,54.99
1419,Leipzig,Germany,73.91
1420,Crawley,United Kingdom,0.0
1421,Endicott,United States,52.0
1422,San Juan,United States,0.0
1423,Reykjavík,Iceland,0.0
1424,Woodstock,United States,100.03
1425,The Woodlands,United States,166.03
1426,Portland,United States,74.03
1427,Mariano Comense,Italy,0.0
1428,Glasgow,United Kingdom,28.99
1429,Portland,United States,0.0
1430,Albany,United States,0.0
1431,Encinitas,United States,0.0
1432,New Castle,United States,30.13
1433,Sheffield,United Kingdom,0.0
1434,Moorpark,United States,30.13
1435,Portsmouth,United States,0.0
1436,,,0.0
1437,Colorado Springs,United States,74.03
1438,Shinnston,United States,140.03
1439,Kissimmee,United States,130.97
1440,San Antonio,United States,30.13
1441,Nicosia,Cyprus,30.59
1442,Tremeirchion Llanelwy,United Kingdom,68.99
1443,Brentwood,United States,100.03
1444,London,United Kingdom,68.99
1445,Glasgow,United Kingdom,136.94
1446,Dallas,United States,148.06
1447,Van alystine,United States,30.13
1448,Bandhagen,Sweden,0.0
1449,Overland Park,United States,74.03
1450,Highland Park,United States,0.0
1451,Dedham,United States,0.0
1452,,,0.0
1453,No entry,No entry,0.0
1454,London,United Kingdom,0.0
1455,Pinner,United Kingdom,69.99
1456,Winsted,United States,74.03
1457,North Hollywood,United States,30.13
1458,Yorba Linda,United States,56.13
1459,LONDON,United Kingdom,0.0
1460,Farnborough,United Kingdom,68.99
1461,Lake Tapps,United States,0.0
1462,Podnanos,Slovenia,0.0
1463,Berlin,Germany,0.0
1464,Wichita,United States,74.03
1465,Seattle,United States,78.97
1466,Port Jervis,United States,0.0
1467,Round Rock,United States,0.0
1468,Winnetka,United States,56.13
1469,Placentia,United States,0.0
1470,Göteborg,Sweden,0.0
1471,LONDON,United Kingdom,28.99
1472,London,United Kingdom,28.99
1473,London,United Kingdom,186.99
1474,,United Kingdom,0.0
1475,London,United Kingdom,68.99
1476,Katonah,United States,0.0
1477,Sheffield,United Kingdom,28.99
1478,Drogheda,Ireland,30.59
1479,Oklahoma City,United States,0.0
1480,Seattle,United States,74.03
1481,Brooklyn,United States,74.03
1482,Lyon,France,30.59
1483,Rio de Janeiro,Brazil,0.0
1484,Poznan,Poland,52.0
1485,decatur,United States,74.03
1486,Los Angeles,United States,0.0
1487,Athens,Greece,0.0
1488,Denver,United States,0.0
1489,Lanark,United Kingdom,28.99
1490,Paris,France,4.59
1491,Ballymena,United Kingdom,28.99
1492,,,0.0
1493,London,United Kingdom,28.99
1494,Leesburg,United States,0.0
1495,Bristol,United Kingdom,66.0
1496,Plainfield,United States,74.03
1497,,,0.0
1498,Seattle,United States,74.03
1499,,United States,0.0
1500,Saint Marys,United States,0.0
1501,West hills,United States,0.0
1502,Olivehurst,United States,0.0
1503,Greater London,United Kingdom,28.99
1504,Vienna,Austria,30.59
1505,Rīga,Latvia,0.0
1506,Santa Monica,United States,0.0
1507,Oranmore,Ireland,0.0
1508,Tetbury,United Kingdom,28.99
1509,Vinci,Italy,30.59
1510,Tampa,United States,30.13
1511,San Francisco,United States,74.03
1512,Macclenny,United States,0.0
1513,Kennewick,United States,0.0
1514,Livingston,United Kingdom,0.0
1515,San Francisco,United States,0.0
1516,London,United Kingdom,28.99
1517,New York City,United States,140.03
1518,Kraków,Poland,0.0
1519,,,0.0
1520,San Jose,United States,74.03
1521,,,0.0
1522,Columbus,United States,56.13
1523,,,0.0
1524,Matlock,United Kingdom,28.99
1525,Oakland,United States,56.13
1526,Spinea,Italy,30.59
1527,Harrogate,United Kingdom,28.99
1528,,,0.0
1529,,,0.0
1530,Saint Charles,United States,74.03
1531,,,0.0
1532,,,0.0
1533,New York,United States,66.0
1534,,,0.0
1535,LONDON,United Kingdom,28.99
1536,Westminster,United States,74.03
1537,Los Angeles,United States,52.0
1538,Vedbæk,Denmark,56.59
1539,Ogden,United States,74.03
1540,,,0.0
1541,Culemborg,Netherlands,30.59
1542,Altadena,United States,56.13
1543,Spalding,United Kingdom,66.0
1544,Antwerpen,Belgium,0.0
1545,Las Vegas,United States,232.03
1546,Maineville,United States,74.03
1547,San Diego,United States,30.13
1548,Summerville,United States,0.0
1549,,Italy,52.0
1550,Watford,United Kingdom,200.99
1551,Dublin 6W,Ireland,0.0
1552,Los Angeles,United States,184.0
1553,London,United Kingdom,28.99
1554,,,198.0
1555,Tustin,United States,30.13
1556,Los Angeles,United States,74.03
1557,Antioch,United States,30.13
1558,Høvik,Norway,0.0
1559,Montigny-lès-Cormeilles,France,61.18
1560,London,United Kingdom,160.99
1561,Merced,United States,219.0
1562,Penhook,United States,0.0
1563,Maywood,United States,30.13
1564,Fullerton,United States,0.0
1565,,United Kingdom,122.13
1566,san francisco,United States,66.0
1567,Jeresy City,United States,74.03
1568,Evanston,United States,66.0
1569,Reykjavík,Iceland,125.91
1570,Chester,United Kingdom,52.0
1571,Murrieta,United States,52.0
1572,Haag in Oberbayern,Germany,30.59
1573,Richmond,United States,0.0
1574,Murphy,United States,0.0
1575,Denver,United States,30.13
1576,Uplands,United Kingdom,28.99
1577,Brooklyn,United States,30.13
1578,,,0.0
1579,Glasgow,United Kingdom,0.0
1580,San Antonio,United States,0.0
1581,,,0.0
1582,,,0.0
1583,Whitby,United Kingdom,0.0
1584,SKEDSMOKORSET,Norway,0.0
1585,Crescent City,United States,206.03
1586,Marina Del Rey,United States,0.0
1587,Marina del Rey,United States,74.03
1588,Hamburg,Germany,30.59
1589,Denison,United States,78.97
1590,Lincoln,United States,0.0
1591,Round rock,United States,74.03
1592,Oakdale,United States,0.0
1593,Albuquerque,United States,0.0
1594,London,United Kingdom,68.99
1595,La Zubia,Spain,0.0
1596,Brooklyn,United States,100.03
1597,Brighton,United Kingdom,0.0
1598,Houston,United States,30.13
1599,Norlina,United States,0.0
1600,Brooklyn,United States,30.13
1601,,,0.0
1602,FORT WASHINGTON,United States,0.0
1603,San Luis Obispo,United States,74.03
1604,Naperville,United States,60.26
1605,Estherville,United States,0.0
1606,London,United Kingdom,0.0
1607,Castro Valley,United States,74.03
1608,,,0.0
1609,Sicklerville,United States,0.0
1610,Pepper Pike,United States,78.97
1611,Greensboro,United States,30.13
1612,GRAND LEDGE,United States,74.03
1613,San Diego,United States,0.0
1614,Kinross,United Kingdom,0.0
1615,West Hollywood,United States,35.52
1616,,,0.0
1617,Summerville,United States,0.0
1618,Oxnard,United States,240.06
1619,Edinburgh,United Kingdom,0.0
1620,BRIDGETON,United States,74.03
1621,Dunstable,United Kingdom,28.99
1622,Amsterdam,Netherlands,0.0
1623,London,United Kingdom,68.99
1624,Colnbrook,United Kingdom,54.99
1625,Sparks,United States,0.0
1626,Halmstad,Sweden,0.0
1627,"London, Ilford",United Kingdom,69.89
1628,Los Angeles,United States,0.0
1629,Novi Sad,Serbia,0.0
1630,Hampton,United Kingdom,28.99
1631,Jamaica,United States,56.13
1632,"Amersham, Bucks",United Kingdom,28.99
1633,Tampa,United States,74.03
1634,,United Kingdom,170.97
1635,Reelsville,United States,0.0
1636,Wilkesboro,United States,74.03
1637,Huntingdon Valley,United States,35.52
1638,Augusta,United States,78.97
1639,Wake Forest,United States,0.0
1640,Berlin,Germany,73.91
1641,,,0.0
1642,East Amwell Township,United States,0.0
1643,DELRAY BEACH,United States,0.0
1644,,,0.0
1645,Berlin,Germany,56.59
1646,Queens,United States,0.0
1647,Santa Cruz de Tenerife,Spain,0.0
1648,Galveston,United States,61.52
1649,Hoorn,Netherlands,73.91
1650,Sofia,Bulgaria,30.59
1651,Billerica,United States,30.13
1652,Austin,United States,0.0
1653,Hinckley,United Kingdom,28.99
1654,ogden,United States,214.06
1655,Delavan,United States,210.97
1656,,Portugal,0.0
1657,Corcelles-Cormondrèche,Switzerland,30.59
1658,Solna,Sweden,0.0
1659,Portland,United States,0.0
1660,Missouri City,United States,278.25
1661,Rowland Heights,United States,0.0
1662,Dunedin,United States,0.0
1663,Miami,United States,30.13
1664,Brooklyn,United States,0.0
1665,Miami,United States,100.03
1666,Bozeman,United States,0.0
1667,Sheffield,United Kingdom,28.99
1668,Tavagnacco,Italy,30.59
1669,Los Angeles,United States,0.0
1670,Meridianville,United States,0.0
1671,Taft,United States,0.0
1672,Fitchburg,United States,0.0
1673,BRIGHTON,United Kingdom,68.99
1674,Oderzo,Italy,0.0
1675,Ashford,United Kingdom,94.99
1676,Augusta,United States,0.0
1677,Kutztown,United States,0.0
1678,Metairie,United States,30.13
1679,Caldwell,United States,0.0
1680,Columbus,United States,0.0
1681,Cantù,Italy,30.59
1682,Louisville,United States,0.0
1683,Covington,United States,0.0
1684,Berlin,Germany,30.59
1685,Riverside,United States,0.0
1686,salford,United Kingdom,121.89
1687,Louisville,United States,0.0
1688,Los Angeles,United States,30.13
1689,Lake Worth,United States,0.0
1690,"Bibury, cirencester",United Kingdom,28.99
1691,Brooklyn,United States,56.13
1692,Cardiff,United Kingdom,70.94
1693,"Budapest, XIII.",Hungary,0.0
1694,Bangor,United Kingdom,28.99
1695,Schenectady,United States,0.0
1696,Aloha,United States,0.0
1697,Louisville,United States,74.03
1698,Fulham,United Kingdom,28.99
1699,Tallahassee,United States,78.97
1700,,United Kingdom,35.52
1701,Praha 5,Czech Republic,30.59
1702,Glendale,United States,30.13
1703,Villeneuve-la-Garenne,France,30.59
1704,St Albans,United Kingdom,28.99
1705,Brooklyn,United States,30.13
1706,Manchester,United States,0.0
1707,Stockholm,Sweden,0.0
1708,Saugerties,United States,140.03
1709,Eldridge,United States,0.0
1710,Warrenton,United States,0.0
1711,Providence,United States,30.13
1712,Brooklyn,United States,0.0
1713,Whitburn,United Kingdom,28.99
1714,New Orleans,United States,0.0
1715,Bisley Stroud,United Kingdom,69.89
1716,Sunbury,United Kingdom,68.99
1717,,United Kingdom,0.0
1718,Dundee,United Kingdom,0.0
1719,Fatima,Portugal,73.91
1720,Woodstock,United States,78.97
1721,Holywell,United Kingdom,68.99
1722,Rainham,United Kingdom,28.99
1723,REICHENBACH-STEEGEN,Germany,142.42
1724,Prague,Czech Republic,205.91
1725,London,United Kingdom,68.99
1726,PERRYSBURG,United States,0.0
1727,Coos Bay,United States,74.03
1728,Anchorage,United States,35.52
1729,Lampeter,United Kingdom,68.99
1730,,,0.0
1731,New York,United States,0.0
1732,,United Kingdom,74.03
1733,,United Kingdom,0.0
1734,Bromsgrove,United Kingdom,28.99
1735,Louisville,United States,74.03
1736,Łomianki,Poland,30.59
1737,Arnhem,Netherlands,99.91
1738,Corona,United States,0.0
1739,Buckeye,United States,140.03
1740,Santa Clarita,United States,0.0
1741,Brooklyn,United States,0.0
1742,Saarbrücken,Germany,56.59
1743,Leeds,United Kingdom,28.99
1744,,,0.0
1745,Manchester,United Kingdom,28.99
1746,Ocean Springs,United States,0.0
1747,Broomfield,United States,74.03
1748,Egg Harbor City,United States,56.13
1749,,United Kingdom,140.03
1750,Oakland park,United States,0.0
1751,Ocean Springs,United States,100.03
1752,Dartford,United Kingdom,56.94
1753,Zürich,Switzerland,30.59
1754,Liverpool,United Kingdom,28.99
1755,Denver,United States,35.52
1756,Denton,United States,0.0
1757,London,United Kingdom,70.94
